# ---------------------------------- WARNING ----------------------------------------
# The data you have obtained from this automated U.S. Geological Survey database
# have not received Director's approval and as such are provisional and subject to
# revision.  The data are released on the condition that neither the USGS nor the
# United States Government may be held liable for any damages resulting from its use.
# Additional info: http://waterdata.usgs.gov/nwis/?provisional
#
# File-format description:  http://waterdata.usgs.gov/nwis/?tab_delimited_format_info
# Automated-retrieval info: http://waterdata.usgs.gov/nwis/?automated_retrieval_info
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2013-12-16 18:49:04 EST       (caww01)
#
# Data for the following 16 site(s) are contained in this file
#    USGS 04072150 DUCK CREEK NEAR HOWARD, WI
#    USGS 04073468 GREEN LAKE INLET AT CT HIGHWAY A NR GREEN LAKE, WI
#    USGS 04073970 WAUKAU CREEK NEAR OMRO, WI
#    USGS 04074950 WOLF RIVER AT LANGLADE, WI
#    USGS 04078500 EMBARRASS RIVER NEAR EMBARRASS, WI
#    USGS 04084038 DE NEVEU CREEK @ E. MERRILL ST. AT FOND DU LAC, WI
#    USGS 04084911 PLUM CREEK NEAR WRIGHTSTOWN, WI
#    USGS 04085046 APPLE CREEK AT SNIDERVILLE, WI
#    USGS 04085068 ASHWAUBENON CREEK NEAR LITTLE RAPIDS, WI
#    USGS 04085108 EAST RIVER @ CNTY TRUNK HIGHWAY ZZ NR GREENLEAF,WI
#    USGS 04085119 BOWER CREEK @ COUNTY TRNK HIGHWAY MM NR DE PERE,WI
#    USGS 040851325 BAIRD CREEK AT SUPERIOR ROAD AT GREEN BAY, WI
#    USGS 434451088272300 RAIN GAGE AT PUMP HOUSE AT FOND DU LAC, WI
#    USGS 434625088284900 FIRE STATION RG @ WESTERN AVENUE AT FOND DU LAC,WI
#    USGS 441546088082001 GLRI EAST RIVER WATERWAY NUMBER 2 NR GREENLEAF, WI
#    USGS 441624088045601 GLRI EAST RIVER WATERWAY NUMBER 1 NR GREENLEAF, WI
# -----------------------------------------------------------------------------------
#
# Data provided for site 04072150
#    DD parameter statistic   Description
#    07   00045     00006     Precipitation, total, inches (Sum)
#
# Data-value qualification codes included in this output: 
#     A  Approved for publication -- Processing and review completed.  
#     e  Value has been estimated.  
# 
agency_cd	site_no	datetime	07_00045_00006	07_00045_00006_cd
5s	15s	20d	14n	10s
USGS	04072150	2003-10-08	0.00	A
USGS	04072150	2003-10-09	0.00	A
USGS	04072150	2003-10-10	0.00	A
USGS	04072150	2003-10-11	0.23	A
USGS	04072150	2003-10-12	0.00	A
USGS	04072150	2003-10-13	0.03	A
USGS	04072150	2003-10-14	0.16	A
USGS	04072150	2003-10-15	0.00	A
USGS	04072150	2003-10-16	0.00	A
USGS	04072150	2003-10-17	0.00	A
USGS	04072150	2003-10-18	0.00	A
USGS	04072150	2003-10-19	0.00	A
USGS	04072150	2003-10-20	0.00	A
USGS	04072150	2003-10-21	0.00	A
USGS	04072150	2003-10-22	0.12	A
USGS	04072150	2003-10-23	0.00	A
USGS	04072150	2003-10-24	0.00	A
USGS	04072150	2003-10-25	0.01	A
USGS	04072150	2003-10-26	0.00	A
USGS	04072150	2003-10-27	0.00	A
USGS	04072150	2003-10-28	0.08	A
USGS	04072150	2003-10-29	0.01	A
USGS	04072150	2003-10-30	0.01	A
USGS	04072150	2003-10-31		
USGS	04072150	2003-11-01		
USGS	04072150	2003-11-02	0.00	A
USGS	04072150	2003-11-03	0.81	A
USGS	04072150	2003-11-04	0.76	A
USGS	04072150	2003-11-05	0.00	A
USGS	04072150	2003-11-06	0.00	A
USGS	04072150	2003-11-07	0.00	A
USGS	04072150	2003-11-08	0.00	A
USGS	04072150	2003-11-09	0.00	A
USGS	04072150	2003-11-10	0.12	A
USGS	04072150	2003-11-11	0.01	A
USGS	04072150	2003-11-12	0.04	A
USGS	04072150	2003-11-13	0.00	A
USGS	04072150	2003-11-14	0.00	A
USGS	04072150	2003-11-15	0.01	A
USGS	04072150	2003-11-16	0.00	A
USGS	04072150	2003-11-17	0.05	A
USGS	04072150	2003-11-18	0.48	A
USGS	04072150	2003-11-19	0.00	A
USGS	04072150	2003-11-20	0.01	A
USGS	04072150	2003-11-21	0.00	A
USGS	04072150	2003-11-22	0.05	A
USGS	04072150	2003-11-23	1.59	A
USGS	04072150	2003-11-24	0.00	A
USGS	04072150	2003-11-25	0.00	A
USGS	04072150	2003-11-26	0.00	A
USGS	04072150	2003-11-27	0.00	A
USGS	04072150	2003-11-28	0.03	A
USGS	04072150	2003-11-29	0.00	A
USGS	04072150	2003-11-30	0.00	A
USGS	04072150	2003-12-01	0.00	A
USGS	04072150	2003-12-02	0.00	A
USGS	04072150	2003-12-03	0.00	A
USGS	04072150	2003-12-04	0.00	A
USGS	04072150	2003-12-05	0.00	A
USGS	04072150	2003-12-06	0.00	A
USGS	04072150	2003-12-07	0.00	A
USGS	04072150	2003-12-08	0.00	A
USGS	04072150	2003-12-09	0.22	A
USGS	04072150	2003-12-10	0.00	A
USGS	04072150	2003-12-11	0.00	A
USGS	04072150	2003-12-12	0.00	A
USGS	04072150	2003-12-13	0.00	A
USGS	04072150	2003-12-14	0.00	A
USGS	04072150	2003-12-15	0.00	A
USGS	04072150	2003-12-16	0.00	A
USGS	04072150	2003-12-17	0.00	A
USGS	04072150	2003-12-18	0.00	A
USGS	04072150	2003-12-19	0.00	A
USGS	04072150	2003-12-20	0.00	A
USGS	04072150	2003-12-21	0.00	A
USGS	04072150	2003-12-22	0.00	A
USGS	04072150	2003-12-23	0.00	A
USGS	04072150	2003-12-24	0.00	A
USGS	04072150	2003-12-25	0.00	A
USGS	04072150	2003-12-26	0.00	A
USGS	04072150	2003-12-27	0.58	A
USGS	04072150	2003-12-28	0.16	A
USGS	04072150	2003-12-29	0.00	A
USGS	04072150	2003-12-30	0.00	A
USGS	04072150	2003-12-31	0.00	A
USGS	04072150	2004-01-01	0.00	A
USGS	04072150	2004-01-02	0.56	A
USGS	04072150	2004-01-03	0.00	A
USGS	04072150	2004-01-04	0.00	A
USGS	04072150	2004-01-05	0.00	A
USGS	04072150	2004-01-06	0.00	A
USGS	04072150	2004-01-07	0.00	A
USGS	04072150	2004-01-08	0.00	A
USGS	04072150	2004-01-09	0.00	A
USGS	04072150	2004-01-10	0.00	A
USGS	04072150	2004-01-11	0.00	A
USGS	04072150	2004-01-12	0.00	A
USGS	04072150	2004-01-13	0.00	A
USGS	04072150	2004-01-14	0.00	A
USGS	04072150	2004-01-15	0.00	A
USGS	04072150	2004-01-16	0.00	A
USGS	04072150	2004-01-17	0.00	A
USGS	04072150	2004-01-18	0.00	A
USGS	04072150	2004-01-19	0.00	A
USGS	04072150	2004-01-20	0.00	A
USGS	04072150	2004-01-21	0.00	A
USGS	04072150	2004-01-22	0.00	A
USGS	04072150	2004-01-23	0.00	A
USGS	04072150	2004-01-24	0.00	A
USGS	04072150	2004-01-25	0.00	A
USGS	04072150	2004-01-26	0.00	A
USGS	04072150	2004-01-27	0.00	A
USGS	04072150	2004-01-28	0.00	A
USGS	04072150	2004-01-29	0.00	A
USGS	04072150	2004-01-30	0.00	A
USGS	04072150	2004-01-31	0.00	A
USGS	04072150	2004-02-01	0.00	A
USGS	04072150	2004-02-02	0.00	A
USGS	04072150	2004-02-03	0.00	A
USGS	04072150	2004-02-04	0.00	A
USGS	04072150	2004-02-05	0.00	A
USGS	04072150	2004-02-06	0.00	A
USGS	04072150	2004-02-07	0.00	A
USGS	04072150	2004-02-08		
USGS	04072150	2004-02-09		
USGS	04072150	2004-02-10		
USGS	04072150	2004-02-11	0.00	A
USGS	04072150	2004-02-12	0.00	A
USGS	04072150	2004-02-13	0.00	A
USGS	04072150	2004-02-14	0.00	A
USGS	04072150	2004-02-15	0.00	A
USGS	04072150	2004-02-16	0.00	A
USGS	04072150	2004-02-17	0.00	A
